"target_year","h","forecast","rlz","score0","score1","score2","score3","score4","pred0_lower","pred0_upper","pred1_lower","pred1_upper","pred2_lower","pred2_upper","pred3_lower","pred3_upper","pred4_lower","pred4_upper"
1981,4.5,8.81116752127597,9.22152093205503,0.239046006162183,0.260690538574331,0.292478078789172,0.266693451450087,0.245050423401284,8.59703326550486,9.02530177704707,8.39124180471265,9.02411801445493,8.4379300732838,8.98361093993054,8.43917975447924,9.0121216723967,8.50081839313369,9.02932074371154
1981,1.5,9.1494405809276,9.22152093205503,0.0267312562555676,0.0859662541101892,0.0759385185036544,0.0167925871176624,0.0236194812614287,9.09275421233777,9.20612694951743,8.93395083334864,9.1579551051222,8.92837000714308,9.16971712537452,9.05529870733025,9.22322457850688,9.05115494676764,9.28734975938193
1982,16.5,8.00518134715025,5.94565420723866,1.30886943445435,1.3207526891312,1.28001141507463,1.19981296380194,1.10557716440508,7.0668592153287,8.9435034789718,7.10479527427158,8.72091149525444,7.05301999045025,8.77947630908063,6.99229009158628,8.5240608861295,6.88533366331189,8.54431074663037
1982,13.5,7.8512396694215,5.94565420723866,1.26097884237886,1.16681101140245,1.24578048717725,1.04587128607319,1.12945233051996,7.04548139466653,8.65699794417647,6.95085359654283,8.56696981752569,7.04871675001072,8.47589619406267,6.83834841385753,8.37011920840075,6.93653312119643,8.32226728681838
1982,10.5,7.43939004385515,5.94565420723866,1.01082704291781,0.834885260750643,0.953641611442274,0.746519723551145,0.895419548797239,6.8357540517318,8.0430260359785,6.63890881461965,8.05521534831616,6.78650556173358,7.91440813120711,6.55817830020267,7.89813460607399,6.72982463124336,7.84231587916878
1982,7.5,6.3863559111403,5.94565420723866,0.128162621810783,0.101668715912381,0.0828625694895095,0.0956327328527503,0.0839248330228897,5.99568205852673,6.77702976375387,5.78568436919115,6.80237152831496,5.88310986630795,6.71173556120304,5.76850319131082,6.72483051983832,5.88193163414179,6.72117996437069
1982,4.5,6.38337319939428,5.94565420723866,0.276517060613457,0.0985639159479372,0.137046266644149,0.140495131267501,0.19503639202363,6.18187078496657,6.58487561382199,5.98251134473148,6.59957912928259,6.02976559185114,6.55911441216781,6.02887950338779,6.60157785457148,6.08409005800905,6.65009547054142
1982,1.5,6.02535223189633,5.94565420723866,0.0374108104747292,0.0217448409978404,0.0230071945738239,0.0189069373839879,0.0292762494835844,5.97249321416766,6.078211249625,5.82430006451988,6.04174847449829,5.8213830616424,6.05145500738064,5.93421755971283,6.12328693355271,5.93121022612438,6.22397272096022
1983,22.5,7.21153846153846,4.20525438682245,2.17603577294798,2.27190774103367,2.17288733892924,2.1580115594814,1.95978659452725,6.17372808432843,8.24934883874849,6.31630009670711,7.92492040819716,6.19179664314781,8.05524746918655,6.21136016256222,7.73041799997852,5.98381564065502,7.79606904760184
1983,19.5,6.25909752547307,4.20525438682245,1.26012569022384,1.31946680496828,1.22044640286385,1.20557062341601,1.00734565846186,5.26695071493959,7.25124433600655,5.36385916064172,6.97247947213177,5.23935570708242,7.10280653312116,5.25891922649683,6.77797706391313,5.03137470458963,6.84362811153645
